system	micro-p	micro-p-left	micro-p-right	micro-r	micro-r-left	micro-r-right	micro-f1	micro-f1-left	micro-f1-right	macro-p	macro-p-left	macro-p-right	macro-r	macro-r-left	macro-r-right	macro-f1	macro-f1-left	macro-f1-right
SF_UMass_IESL2	0.189537824827	0.153581934679	0.228735843594	0.240876527871	0.205823644572	0.277631965944	0.211617251057	0.180092937353	0.243707205744	0.220709758556	0.184276896334	0.259180130382	0.28063473708	0.237321450301	0.325306328567	0.21478330853	0.180170956864	0.250473923707
SF_CMUML2	0.484701215986	0.25	0.75	0.0112692588035	0.00443926583358	0.0196808027194	0.021979118967	0.00874293077529	0.0380744414227	0.0231043112513	0.00893796004206	0.039445320715	0.0129432067407	0.00407943791225	0.0239599976785	0.0147297005658	0.00529517800811	0.0258506083822
KB_NYU1	0.428061374296	0.36061168943	0.49526232449	0.200657017855	0.161217450719	0.243110461966	0.272307967677	0.231030381202	0.314789981103	0.246188708246	0.204899268172	0.290173276279	0.226969925899	0.187291847597	0.268512290271	0.210953454894	0.173735994467	0.250211565881
SF_UGENT_IBCN1	0.347486310363	0.29638936617	0.402870471316	0.267162123252	0.225457557614	0.312506574334	0.301478159559	0.262492136753	0.34382898602	0.346043401926	0.299835058532	0.39332586058	0.327985963874	0.282183498495	0.373377264718	0.308787724266	0.267380834701	0.351082243608
KB_BBN5	0.493086054071	0.442621695579	0.545818103732	0.366213008796	0.320277396716	0.410502424952	0.419726235711	0.379511636848	0.457381943347	0.37531516719	0.32722498022	0.425121195875	0.352555531149	0.30654650069	0.397900937192	0.334988120856	0.290987919572	0.38006805526
KB_BBN1	0.487765263545	0.439056691383	0.541450020284	0.372741118044	0.326433139064	0.417086392445	0.422007632112	0.38294293771	0.458156310927	0.384478697702	0.337817726622	0.433361894629	0.36628597005	0.320984987408	0.412271951459	0.345411984787	0.302889378797	0.389048405022
KB_Stanford1	0.596897492767	0.531855735131	0.66428874092	0.191629115419	0.153980967259	0.232895153231	0.28946155749	0.242944469324	0.337926707682	0.293653670322	0.248289457213	0.340680236343	0.239291864511	0.198640920402	0.281030217654	0.242233412713	0.202864430071	0.281484604181
SF_StaRAI20154	0.0777154333354	0.0388349514563	0.124353571163	0.0192368345154	0.00907029478458	0.0326876513317	0.0306489019266	0.0148758794433	0.0501447931064	0.0254710328053	0.0113548583383	0.0423971204925	0.0350305993691	0.0176130389064	0.055730809674	0.0269738580032	0.0125130871582	0.04420995671
KB_NYU3	0.570978849951	0.510144682726	0.637685632492	0.182979252298	0.148633583968	0.218587350535	0.27660732053	0.234525150852	0.318694528705	0.235932564719	0.193994729858	0.27860028291	0.201512225905	0.162130520494	0.24102694883	0.201962506121	0.16461079254	0.239240663534
SF_ZJU_DCD_SF1	0.126418332994	0.0956932349511	0.158881437454	0.0631053694767	0.0458011295486	0.0824193255983	0.0840093824756	0.0627673258167	0.107032310163	0.0880567052226	0.0622850946372	0.116529311251	0.0873823776347	0.0605139718216	0.115943179728	0.069702160044	0.0493880976264	0.0915250175406
SF_Stanford1	0.528319931562	0.469479330859	0.585174018672	0.275219613685	0.226560743305	0.326531828464	0.361138479457	0.313439349585	0.409495201144	0.336680172432	0.290137493559	0.382701162968	0.305750998968	0.261652840112	0.35046549054	0.294430281608	0.252964144443	0.336353930333
SF_UMass_IESL4	0.3453820822	0.281571198528	0.411330888939	0.182705959663	0.144708076087	0.222225920994	0.238137360818	0.1985689995	0.278027873944	0.242193289304	0.200870222049	0.284126177669	0.23974269231	0.198598616077	0.282262116343	0.214914869795	0.177613459106	0.252144868499
SF_UGENT_IBCN4	0.279925112076	0.232410688898	0.337152287395	0.29543048756	0.258928103474	0.335445850914	0.286758796356	0.251692067929	0.32583111659	0.332173854798	0.288157847792	0.377134155045	0.332172364179	0.288852835881	0.377192844548	0.301558846265	0.262606572123	0.341363790357
